³¯Â¥,S&P 500,CAC
2003.11.7,-0.004547185,0.003487362
2003.11.10,-0.00580871,0.000876552
2003.11.11,-0.000477623,0.001764706
2003.11.12,0.011400465,0
2003.11.13,-0.000188947,-0.009049836
2003.11.14,-0.007682496,0.013140794
2003.11.17,-0.006399563,-0.010362787
2003.11.18,-0.009048093,-0.009208442
2003.11.19,0.007897566,0.011136308
2003.11.20,-0.008381148,-0.011387597
2003.11.21,0.001546641,0.011990551
2003.11.24,0.016096927,0.011206251
2003.11.25,0.001709402,-0.002634276
2003.11.26,0.004355243,-0.00205369
2003.11.28,-0.00028346,-0.00380173
2003.12.1,0.011182751,0.010960594
2003.12.2,-0.003276083,-0.005460568
2003.12.3,-0.00178295,0.00918491
2003.12.4,0.004685166,0
2003.12.5,-0.007695233,-0.008665565
2003.12.8,0.007321227,-0.001457939
2003.12.9,-0.008546659,-0.000579039
2003.12.10,-0.001132503,0
2003.12.11,0.011454449,0.00404976
2003.12.12,0.002703586,-0.007773179
2003.12.15,-0.005695361,-0.00685717
2003.12.16,0.00662594,0.004901264
2003.12.17,0.001301357,-0.002587324
2003.12.18,0.011728444,0.008613318
2003.12.19,-0.000459158,-0.003992021
2003.12.22,0.00385039,0.004884365
2003.12.23,0.002832475,-0.003716945
2003.12.24,-0.001826485,0.002860414
2003.12.29,0.01233352,0.000854823
2003.12.30,9.01E-05,-0.000283728
2003.12.31,0.002070674,0.008477022
2004.1.2,-0.003062514,0.007838786
2004.1.5,0.012283294,0.003619661
2004.1.6,0.001335768,-0.003614629
2004.1.7,0.002311112,-0.013689276
2004.1.8,0.004959713,0
2004.1.9,-0.00887396,-0.008650814
2004.1.12,0.004713005,-0.001123911
2004.1.13,-0.005337141,-0.000839983
2004.1.14,0.008260472,0.009201236
2004.1.15,0.001325967,0.006100962
2004.1.16,0.006866829,0.006848404
2004.1.20,-0.000877732,-0.007631544
2004.1.21,0.007697729,0.004365628
2004.1.22,-0.003229329,-0.001626457
2004.1.23,-0.00210029,0
2004.1.26,0.012103417,-0.003535975
2004.1.27,-0.009915711,-0.003244123
2004.1.28,-0.013641576,0.007594287
2004.1.29,0.004950068,-0.002184599
2004.1.30,-0.002648774,-0.010399656
2004.2.2,0.003706323,0.002734484
2004.2.3,0.000616387,-0.007948514
2004.2.4,-0.008397839,-0.003879196
2004.2.5,0.001862446,0.003057681
2004.2.6,0.012503465,-0.00055325
2004.2.9,-0.002628583,0.006302254
2004.2.10,0.004988414,0.003829326
2004.2.11,0.01068043,0.002452651
2004.2.12,-0.004935289,-0.002717393
2004.2.13,-0.005483281,-0.008740837
2004.2.17,0.009727365,0.005156749
2004.2.18,-0.004504512,0.001350439
2004.2.19,-0.004088918,0.009643793
2004.2.20,-0.002618717,-0.004827041
2004.2.23,-0.002713231,-0.004821868
2004.2.24,-0.001666594,-0.009194224
2004.2.25,0.004030144,0.00135483
2004.2.26,0.001048676,-0.002964562
2004.2.27,-0.000785786,-0.001075269
2004.3.1,0.009648473,0.002940785
2004.3.2,-0.005986743,0.004250803
2004.3.3,0.001652102,-0.003992021
2004.3.4,0.00338263,0.001859477
2004.3.5,0.001730254,-0.003191492
2004.3.8,-0.008419823,0.003182182
2004.3.9,-0.005769751,-0.006413705
2004.3.10,-0.01474966,0.009117789
2004.3.11,-0.015331811,-0.015812761
2004.3.12,0.012391287,0.016291952
2004.3.15,-0.014471512,-0.025606743
2004.3.16,0.005597703,0.003916089
2004.3.17,0.011725353,0.011583141
2004.3.18,-0.001335649,-0.015491319
2004.3.19,-0.011200332,-0.002489972
2004.3.22,-0.013060226,-0.009852296
2004.3.23,-0.001278889,-0.003964888
2004.3.24,-0.002471058,-0.00595831
2004.3.25,0.016269389,0.005069006
2004.3.26,-0.000992198,-0.001114517
2004.3.29,0.012911504,0.011631258
2004.3.30,0.004000894,-0.002766253
2004.3.31,-0.000710101,-0.00027552
2004.4.1,0.005313509,0.005197659
2004.4.2,0.008443322,0.019454815
2004.4.5,0.007677581,0.006918601
2004.4.6,-0.002088047,-0.009582187
2004.4.7,-0.006728736,-0.004282662
