³¯Â¥,S&P 500,KOSPI
2002.2.4,-0.021335107,-0.01464147
2002.2.5,0.001193372,0.026305595
2002.2.6,-0.007356355,0.006901245
2002.2.7,-0.002865729,-0.012169538
2002.2.8,0.012668856,0.01202343
2002.2.14,-0.00178971,0.041061186
2002.2.15,-0.011256817,0.002043972
2002.2.19,-0.017296244,-0.015299043
2002.2.20,0.012186892,0.003713977
2002.2.21,-0.012228351,-0.001281523
2002.2.22,0.010701209,0.021982274
2002.2.25,0.016907957,-0.006699096
2002.2.26,-0.00081092,-0.006320945
2002.2.27,-0.001170591,0.026387861
2002.2.28,-0.003697862,-0.006236685
2002.3.4,0.020047067,-0.00954422
2002.3.5,-0.006002367,-0.006994898
2002.3.6,0.014640535,0.003100667
2002.3.7,-0.006201036,-0.021964754
2002.3.8,0.002752216,-0.004388915
2002.3.11,0.003687351,-0.001449941
2002.3.12,-0.002313725,0.025801935
2002.3.13,-0.007682054,0.008515421
2002.3.14,-0.001040222,0.01199897
2002.3.15,0.010949801,0.014977475
2002.3.18,-0.00060042,-0.008563794
2002.3.19,0.004109947,0.019664431
2002.3.20,-0.015848738,-0.00880638
2002.3.21,0.001822047,0.011389761
2002.3.22,-0.00399653,0.006337143
2002.3.25,-0.015255425,-0.024731163
2002.3.26,0.006079046,0.009648797
2002.3.27,0.006222359,0.015792329
2002.3.28,0.000959149,-0.013927895
2002.4.1,0.000436205,-0.027744841
2002.4.2,-0.005439087,0.029639438
2002.4.3,-0.010694344,0.020467345
2002.4.4,0.001154888,0.005538123
2002.4.8,0.002313168,-0.022114301
2002.4.9,-0.006864914,-0.01687107
2002.4.10,0.010135222,-0.029977333
2002.4.11,-0.023991841,0.005391976
2002.4.12,0.006592339,0.023863896
2002.4.15,-0.007680182,0.017188522
2002.4.16,0.023220372,0.005429173
2002.4.17,-0.002040364,0.011935406
2002.4.18,-0.001421843,0.011714987
2002.4.19,0.000622305,-0.013918745
2002.4.22,-0.015584731,-0.009951514
2002.4.23,-0.006157209,0.00828746
2002.4.24,-0.007201161,-0.006596158
2002.4.25,-0.001464799,-0.029205586
2002.4.26,-0.014023664,-0.00217093
2002.4.29,-0.010085061,-0.011867148
2002.4.30,0.010642371,0.002412862
2002.5.2,-0.001750265,0.005188699
2002.5.3,-0.010380075,0.00547767
2002.5.6,-0.019472888,-0.016860934
2002.5.7,-0.003044432,0.014972238
2002.5.8,0.036762312,0.006711474
2002.5.9,-0.014617709,-0.031258964
2002.5.10,-0.016917697,-0.020690894
2002.5.13,0.018407732,0.015844733
2002.5.14,0.020904118,0.003445268
2002.5.15,-0.005666255,0.0140558
2002.5.16,0.006486114,-0.004546546
2002.5.17,0.007619776,0.008711826
2002.5.20,-0.013372953,-0.012157541
2002.5.21,-0.011050854,-0.024600587
2002.5.22,0.005632777,0.029955493
2002.5.23,0.010169113,-0.015246685
2002.5.24,-0.012196951,0.00135833
2002.5.28,-0.008617947,0.003564309
2002.5.29,-0.006348635,-0.004229599
2002.5.30,-0.002813733,-0.012464751
2002.5.31,0.002251619,-0.023258305
2002.6.3,-0.025051125,0.014263971
2002.6.4,0,0.021726767
2002.6.5,0.008801358,-0.004252362
2002.6.7,-0.001653134,0.001585844
2002.6.10,0.003109516,0.010798332
2002.6.11,-0.016729833,0.006459931
2002.6.12,0.006588352,0.01657527
2002.6.14,-0.002280729,0.001923967
2002.6.17,0.028286691,-0.01839228
2002.6.18,0.000868181,-0.01818065
2002.6.19,-0.016625729,-0.037901082
2002.6.20,-0.013522389,0.009026079
2002.6.21,-0.017240078,0.014269047
2002.6.24,0.003633065,0.000117207
2002.6.25,-0.016863463,-0.023313274
2002.6.26,-0.002667215,-0.046720758
2002.6.27,0.017412995,-0.010445933
2002.6.28,-0.000807918,0.025900728
2002.7.2,-0.021391748,0.032205723
2002.7.3,0.00620369,0.016731528
2002.7.5,0.023737558,0.024828755
2002.7.8,-0.01220768,-0.029892761
2002.7.9,-0.025081634,0.017813808
2002.7.10,-0.034488017,-0.000390003
2002.7.11,0.007467971,-0.023094401
2002.7.12,-0.006490719,0.015813018
2002.7.15,-0.0038058,-0.005257241
2002.7.16,-0.018583195,-0.017768481
2002.7.18,-0.027300868,-0.000516762
2002.7.19,-0.019043744,-0.006327505
2002.7.22,-0.033462377,-0.004967528
2002.7.23,-0.027449795,0.037980897
2002.7.24,0.055708754,-0.003252215
2002.7.25,-0.005588267,-0.039644831
2002.7.26,0.016671979,-0.027044149
2002.7.29,0.052757981,-0.005311776
2002.7.30,0.00421801,0.002073743
2002.7.31,0.009700252,-0.009757392
2002.8.1,-0.029952693,-0.0184637
2002.8.2,-0.023444381,0.00965138
2002.8.5,-0.034851655,-0.021968934
2002.8.6,0.029514597,0.019240584
2002.8.7,0.019811751,-0.008340528
2002.8.8,0.032208361,0.000131493
2002.8.9,0.003417676,-0.009543456
2002.8.12,-0.005296856,0.002015288
2002.8.13,-0.021924816,0.019220264
2002.8.14,0.039255511,0.016944391
2002.8.16,-0.001506186,-0.008373702
2002.8.19,0.023305125,-0.007317292
2002.8.20,-0.01408847,0.005553604
2002.8.21,0.012720121,0.014464207
2002.8.22,0.013911631,-0.004749014
2002.8.23,-0.022904973,-0.010197521
2002.8.26,0.007517638,0.004050162
2002.8.27,-0.0140219,-0.01768383
2002.8.28,-0.01824415,0.007903535
2002.8.29,-0.00010895,0.006060205
2002.8.30,-0.001853973,0.013879141
2002.9.3,-0.042478935,-0.016432122
2002.9.4,0.017387815,-0.004870218
2002.9.5,-0.016135752,-0.013761022
2002.9.6,0.016695255,-0.010554632
2002.9.9,0.010128641,-0.02363346
2002.9.10,0.007282389,0.016438881
2002.9.11,-0.001208725,0.009343789
2002.9.12,-0.025162762,0.018830994
2002.9.13,0.003264482,-0.011022752
2002.9.16,0.001459936,-0.023945092
2002.9.17,-0.019948525,0.016145043
2002.9.18,-0.004589796,-0.005935156
2002.9.19,-0.030595567,-0.001405023
2002.9.23,-0.013936263,-0.018534036
2002.9.24,-0.017423308,0.007570081
2002.9.25,0.024594368,-0.017177893
2002.9.26,0.018056784,-0.015726892
2002.9.27,-0.032813215,-0.002227374
2002.9.30,-0.01473211,0.001765116
2002.10.1,0.039206561,0.022203495
2002.10.2,-0.019023126,-0.028400153
2002.10.4,-0.022722637,0.013128885
2002.10.7,-0.019295636,-0.026611201
2002.10.8,0.016669157,0.013878868
2002.10.9,-0.027552051,-0.027162655
2002.10.10,0.034291966,-0.044603617
2002.10.11,0.038316058,-0.025824905
2002.10.14,0.007276229,0.016148706
2002.10.15,0.046330919,0.014092513
2002.10.16,-0.024465701,-0.007625079
2002.10.17,0.022080014,0.01752619
2002.10.18,0.005897046,0.015201651
2002.10.21,0.017151925,-0.020983502
2002.10.22,-0.010615218,-0.040271841
2002.10.23,0.006605857,0.025995501
2002.10.24,-0.015293225,-0.00985993
2002.10.25,0.016965746,0.015023555
2002.10.28,-0.008278378,0.016623682
2002.10.29,-0.009140728,-0.002833262
2002.10.30,0.009702242,-0.021647494
2002.10.31,-0.005516479,-0.008884112
2002.11.1,0.017014066,-0.007215471
2002.11.4,0.008179553,0.017152873
2002.11.5,0.007676318,-0.011692542
2002.11.6,0.00913447,0.012709349
2002.11.7,-0.023216111,0.003691099
2002.11.8,-0.008791021,0.010112454
2002.11.11,-0.020894091,-0.017152666
2002.11.12,0.007730825,0.01502607
2002.11.13,-0.000566412,-0.003480973
2002.11.14,0.024402375,-0.006510997
2002.11.15,0.006063631,0.005662782
2002.11.18,-0.010385686,-0.008641522
2002.11.19,-0.004117751,0.012121905
2002.11.20,0.019218617,0.018976576
2002.11.21,0.021322308,-0.007201907
